"region","bygningstype","statistikkvariabel","år","value"
"Akershus","Andre bygningstyper","Boliger (bebodde og ubebodde)","2006",5615
"Akershus","Andre bygningstyper","Boliger (bebodde og ubebodde)","2007",5625
"Akershus","Andre bygningstyper","Boliger (bebodde og ubebodde)","2008",5792
"Akershus","Andre bygningstyper","Boliger (bebodde og ubebodde)","2009",5813
"Akershus","Andre bygningstyper","Boliger (bebodde og ubebodde)","2010",6427
"Akershus","Andre bygningstyper","Boliger (bebodde og ubebodde)","2011",6270
"Akershus","Andre bygningstyper","Boliger (bebodde og ubebodde)","2012",6524
"Akershus","Andre bygningstyper","Boliger (bebodde og ubebodde)","2013",6459
"Akershus","Andre bygningstyper","Boliger (bebodde og ubebodde)","2014",6405
"Akershus","Andre bygningstyper","Boliger (bebodde og ubebodde)","2015",6398
"Akershus","Andre bygningstyper","Boliger (bebodde og ubebodde)","2016",6553
"Akershus","Andre bygningstyper","Boliger (bebodde og ubebodde)","2017",7076
"Akershus","Andre bygningstyper","Boliger (bebodde og ubebodde)","2018",7399
"Akershus","Andre bygningstyper","Boliger (bebodde og ubebodde)","2019",7548
"Akershus","Boligblokk","Boliger (bebodde og ubebodde)","2006",36246
"Akershus","Boligblokk","Boliger (bebodde og ubebodde)","2007",38571
"Akershus","Boligblokk","Boliger (bebodde og ubebodde)","2008",41362
"Akershus","Boligblokk","Boliger (bebodde og ubebodde)","2009",43505
"Akershus","Boligblokk","Boliger (bebodde og ubebodde)","2010",44564
"Akershus","Boligblokk","Boliger (bebodde og ubebodde)","2011",45979
"Akershus","Boligblokk","Boliger (bebodde og ubebodde)","2012",47018
"Akershus","Boligblokk","Boliger (bebodde og ubebodde)","2013",49200
"Akershus","Boligblokk","Boliger (bebodde og ubebodde)","2014",51431
"Akershus","Boligblokk","Boliger (bebodde og ubebodde)","2015",53191
"Akershus","Boligblokk","Boliger (bebodde og ubebodde)","2016",55054
"Akershus","Boligblokk","Boliger (bebodde og ubebodde)","2017",56770
"Akershus","Boligblokk","Boliger (bebodde og ubebodde)","2018",59280
"Akershus","Boligblokk","Boliger (bebodde og ubebodde)","2019",62632
"Akershus","Bygning for bofellesskap","Boliger (bebodde og ubebodde)","2006",2070
"Akershus","Bygning for bofellesskap","Boliger (bebodde og ubebodde)","2007",1699
"Akershus","Bygning for bofellesskap","Boliger (bebodde og ubebodde)","2008",1761
"Akershus","Bygning for bofellesskap","Boliger (bebodde og ubebodde)","2009",1844
"Akershus","Bygning for bofellesskap","Boliger (bebodde og ubebodde)","2010",1960
"Akershus","Bygning for bofellesskap","Boliger (bebodde og ubebodde)","2011",2007
"Akershus","Bygning for bofellesskap","Boliger (bebodde og ubebodde)","2012",2156
"Akershus","Bygning for bofellesskap","Boliger (bebodde og ubebodde)","2013",2334
"Akershus","Bygning for bofellesskap","Boliger (bebodde og ubebodde)","2014",2623
"Akershus","Bygning for bofellesskap","Boliger (bebodde og ubebodde)","2015",3073
"Akershus","Bygning for bofellesskap","Boliger (bebodde og ubebodde)","2016",3092
"Akershus","Bygning for bofellesskap","Boliger (bebodde og ubebodde)","2017",3046
"Akershus","Bygning for bofellesskap","Boliger (bebodde og ubebodde)","2018",3824
"Akershus","Bygning for bofellesskap","Boliger (bebodde og ubebodde)","2019",3886
"Akershus","Enebolig","Boliger (bebodde og ubebodde)","2006",107118
"Akershus","Enebolig","Boliger (bebodde og ubebodde)","2007",107820
"Akershus","Enebolig","Boliger (bebodde og ubebodde)","2008",108889
"Akershus","Enebolig","Boliger (bebodde og ubebodde)","2009",109951
"Akershus","Enebolig","Boliger (bebodde og ubebodde)","2010",111187
"Akershus","Enebolig","Boliger (bebodde og ubebodde)","2011",111786
"Akershus","Enebolig","Boliger (bebodde og ubebodde)","2012",113151
"Akershus","Enebolig","Boliger (bebodde og ubebodde)","2013",114138
"Akershus","Enebolig","Boliger (bebodde og ubebodde)","2014",115091
"Akershus","Enebolig","Boliger (bebodde og ubebodde)","2015",115978
"Akershus","Enebolig","Boliger (bebodde og ubebodde)","2016",116762
"Akershus","Enebolig","Boliger (bebodde og ubebodde)","2017",117643
"Akershus","Enebolig","Boliger (bebodde og ubebodde)","2018",118463
"Akershus","Enebolig","Boliger (bebodde og ubebodde)","2019",119243
"Akershus","Rekkehus, kjedehus og andre småhus","Boliger (bebodde og ubebodde)","2006",35722
"Akershus","Rekkehus, kjedehus og andre småhus","Boliger (bebodde og ubebodde)","2007",36308
"Akershus","Rekkehus, kjedehus og andre småhus","Boliger (bebodde og ubebodde)","2008",36781
"Akershus","Rekkehus, kjedehus og andre småhus","Boliger (bebodde og ubebodde)","2009",37193
"Akershus","Rekkehus, kjedehus og andre småhus","Boliger (bebodde og ubebodde)","2010",37631
"Akershus","Rekkehus, kjedehus og andre småhus","Boliger (bebodde og ubebodde)","2011",37829
"Akershus","Rekkehus, kjedehus og andre småhus","Boliger (bebodde og ubebodde)","2012",38167
"Akershus","Rekkehus, kjedehus og andre småhus","Boliger (bebodde og ubebodde)","2013",38688
"Akershus","Rekkehus, kjedehus og andre småhus","Boliger (bebodde og ubebodde)","2014",39183
"Akershus","Rekkehus, kjedehus og andre småhus","Boliger (bebodde og ubebodde)","2015",39312
"Akershus","Rekkehus, kjedehus og andre småhus","Boliger (bebodde og ubebodde)","2016",39732
"Akershus","Rekkehus, kjedehus og andre småhus","Boliger (bebodde og ubebodde)","2017",40603
"Akershus","Rekkehus, kjedehus og andre småhus","Boliger (bebodde og ubebodde)","2018",41422
"Akershus","Rekkehus, kjedehus og andre småhus","Boliger (bebodde og ubebodde)","2019",42234
"Akershus","Tomannsbolig","Boliger (bebodde og ubebodde)","2006",23238
"Akershus","Tomannsbolig","Boliger (bebodde og ubebodde)","2007",23583
"Akershus","Tomannsbolig","Boliger (bebodde og ubebodde)","2008",23992
"Akershus","Tomannsbolig","Boliger (bebodde og ubebodde)","2009",24274
"Akershus","Tomannsbolig","Boliger (bebodde og ubebodde)","2010",24528
"Akershus","Tomannsbolig","Boliger (bebodde og ubebodde)","2011",24838
"Akershus","Tomannsbolig","Boliger (bebodde og ubebodde)","2012",24939
"Akershus","Tomannsbolig","Boliger (bebodde og ubebodde)","2013",25227
"Akershus","Tomannsbolig","Boliger (bebodde og ubebodde)","2014",25477
"Akershus","Tomannsbolig","Boliger (bebodde og ubebodde)","2015",25788
"Akershus","Tomannsbolig","Boliger (bebodde og ubebodde)","2016",26107
"Akershus","Tomannsbolig","Boliger (bebodde og ubebodde)","2017",26394
"Akershus","Tomannsbolig","Boliger (bebodde og ubebodde)","2018",26770
"Akershus","Tomannsbolig","Boliger (bebodde og ubebodde)","2019",27161
"Aust-Agder","Andre bygningstyper","Boliger (bebodde og ubebodde)","2006",1577
"Aust-Agder","Andre bygningstyper","Boliger (bebodde og ubebodde)","2007",1606
"Aust-Agder","Andre bygningstyper","Boliger (bebodde og ubebodde)","2008",1635
"Aust-Agder","Andre bygningstyper","Boliger (bebodde og ubebodde)","2009",1674
"Aust-Agder","Andre bygningstyper","Boliger (bebodde og ubebodde)","2010",1725
